Periods,2025
1,380.23
2,373.38
3,370.24
4,363.41
5,533.79
6,705.06
7,841.86
8,956.44
9,1039.9
10,1005.64
11,989.37
12,954.43
13,920.04
14,854.83
15,810.72
16,746.11
17,718.29
18,813.39
19,893.97
20,841.6
21,768.29
22,715.45
23,661.39
24,628.11
25,598.38
26,572.19
27,549.09
28,528.52
29,681.19
30,843.7
31,974.1
32,1078.33
33,1160.23
34,1098.62
35,1057.57
36,982.81
37,953.38
38,873.69
39,823.69
40,773.39
41,734.6
42,840.21
43,933.98
44,868.8
45,789.45
46,725.28
47,667.3
48,631.15
49,596.88
50,566.67
51,540.72
52,516.16
53,654.19
54,801.63
55,905.44
56,1040.76
57,1144.79
58,1069.8
59,988.35
60,956.09
61,925.91
62,880.72
63,841.48
64,792.79
65,736.94
66,851.77
67,933.98
68,869.59
69,789.43
70,701.8
71,665.06
72,606.11
73,591.36
74,580.0
75,544.7
76,511.82
77,654.44
78,806.43
79,926.21
80,1023.4
81,1117.28
82,1035.29
83,989.96
84,978.05
85,884.47
86,845.93
87,818.94
88,774.99
89,747.95
90,866.41
91,947.68
92,869.65
93,789.37
94,701.75
95,651.9
96,619.98
97,577.72
98,539.22
99,503.64
100,465.67
101,459.83
102,639.12
103,781.43
104,897.0
105,1005.52
106,1146.77
107,1106.45
108,1047.36
109,1002.81
110,967.45
111,883.77
112,842.09
113,780.32
114,745.48
115,837.22
116,919.25
117,822.36
118,770.38
119,716.0
120,665.69
121,626.33
122,591.35
123,619.24
124,551.77
125,495.26
126,633.34
127,842.25
128,981.43
129,1073.67
130,1161.66
131,1123.28
132,1068.56
133,1003.26
134,959.2
135,889.13
136,832.15
137,782.43
138,761.09
139,838.8
140,924.05
141,855.75
142,775.72
143,715.91
144,665.68
145,619.49
146,577.71
147,546.04
148,517.45
149,495.24
150,672.37
151,817.79
152,940.28
153,1033.36
154,1147.99
155,1122.76
156,1068.02
157,1017.22
158,944.33
159,866.29
160,832.92
161,796.37
162,802.74
163,894.11
164,992.07
165,883.76
166,775.67
167,715.21
168,668.74
169,629.18
170,591.37
171,557.21
172,527.11
173,505.71
174,676.08
175,818.09
176,938.72
177,1044.99
178,1148.36
179,1120.84
180,1058.56
181,1028.89
182,954.0
183,890.07
184,874.87
185,789.42
186,747.36
187,838.94
188,799.62
189,745.65
190,693.11
191,646.52
192,610.01
193,577.54
194,549.39
195,524.73
196,502.95
197,485.42
198,672.66
199,833.87
200,966.5
201,1073.54
202,1160.47
203,1067.91
204,986.19
205,908.38
206,832.32
207,718.9
208,671.96
209,631.37
210,595.95
211,702.87
212,798.28
213,745.65
214,693.14
215,646.61
216,610.02
217,577.51
218,549.37
219,524.71
220,502.94
221,489.7
222,677.81
223,832.24
224,966.09
225,1072.03
226,1159.34
227,997.54
228,903.31
229,846.33
230,775.9
231,731.65
232,686.8
233,631.61
234,595.93
235,702.89
236,798.37
237,745.45
238,693.14
239,646.56
240,610.03
241,577.5
242,549.37
243,524.73
244,502.95
245,487.47
246,657.98
247,832.85
248,965.55
249,1071.59
250,1160.97
251,1068.14
252,985.79
253,906.66
254,836.22
255,762.8
256,696.57
257,631.79
258,595.95
259,702.97
260,799.46
261,745.68
262,693.16
263,646.45
264,609.95
265,577.52
266,549.39
267,524.74
268,502.96
269,485.15
270,662.11
271,833.64
272,965.43
273,1072.83
274,1160.59
275,1068.55
276,986.5
277,906.36
278,833.39
279,765.45
280,679.79
281,631.3
282,594.09
283,703.28
284,799.63
285,745.66
286,693.08
287,646.53
288,609.96
289,577.53
290,549.38
291,524.73
292,502.94
293,487.06
294,676.79
295,832.58
296,966.75
297,1073.61
298,1162.74
299,1069.24
300,987.22
301,908.36
302,836.7
303,765.15
304,693.94
305,628.39
306,594.72
307,704.39
308,799.59
309,745.64
310,693.07
311,646.53
312,610.02
313,577.49
314,549.38
315,524.72
316,502.93
317,486.61
318,676.89
319,833.53
320,965.34
321,1073.69
322,1162.31
323,1069.05
324,986.96
325,907.93
326,837.05
327,766.88
328,694.72
329,630.87
330,595.9
331,702.86
332,798.53
333,745.63
334,693.11
335,646.53
336,610.07
337,577.53
338,549.39
339,524.73
340,502.97
341,486.84
342,675.1
343,832.34
344,965.88
345,1073.68
346,1161.78
347,1068.41
348,985.91
349,907.1
350,836.15
351,766.6
352,696.59
353,630.97
354,594.51
355,703.25
356,799.58
357,745.63
358,693.09
359,646.58
360,610.02
361,577.52
362,549.38
363,524.73
364,502.96
365,486.84
366,677.77
367,833.15
368,966.58
369,1074.23
370,1162.1
371,1068.87
372,986.31
373,907.68
374,836.85
375,766.58
376,696.62
377,630.28
378,595.68
379,702.87
380,798.47
381,745.69
382,693.14
383,646.49
384,610.01
385,577.52
386,549.4
387,524.75
388,502.97
389,486.75
390,678.07
391,833.03
392,966.54
393,1074.18
394,1162.3
395,1068.85
396,986.54
397,907.81
398,836.67
399,759.89
400,674.41
401,630.95
402,595.7
403,702.91
404,798.33
405,745.65
406,693.12
407,646.58
408,610.02
409,577.53
410,549.39
411,524.73
412,502.94
413,484.57
414,638.26
415,797.14
416,928.86
417,1067.26
418,1158.2
419,1062.77
420,985.01
421,906.99
422,835.66
423,764.82
424,691.73
425,631.45
426,595.91
427,702.94
428,798.56
429,745.55
430,693.12
431,646.47
432,610.02
433,577.49
434,549.37
435,524.71
436,502.94
437,486.59
438,677.22
439,832.27
440,965.53
441,1072.58
442,1161.44
443,1068.96
444,987.04
445,908.09
446,837.28
447,766.68
448,695.5
449,630.87
450,595.7
451,702.92
452,798.61
453,745.63
454,693.13
455,646.5
456,609.94
457,577.52
458,549.38
459,524.75
460,502.94
461,485.35
462,651.16
463,832.08
464,964.51
465,1073.57
466,1162.06
467,1068.33
468,986.86
469,907.99
470,836.14
471,767.14
472,697.06
473,631.2
474,594.12
475,703.27
476,799.52
477,745.64
478,693.17
479,646.53
480,610.0
481,577.52
482,549.37
483,524.71
484,502.95
485,486.24
486,676.15
487,832.13
488,964.36
489,1073.37
490,1162.05
491,1068.62
492,986.32
493,907.74
494,836.27
495,764.6
496,695.35
497,631.41
498,594.35
499,703.24
500,799.58
501,745.61
502,693.11
503,646.55
504,610.02
505,577.57
506,549.4
507,524.74
508,502.95
509,486.39
510,676.98
511,831.51
512,960.48
513,1065.12
514,1158.6
515,1065.52
516,963.26
517,854.96
518,807.86
519,744.76
520,685.97
521,631.57
522,595.99
523,702.86
524,798.28
525,745.55
526,693.15
527,646.54
528,610.02
529,577.51
530,549.38
531,524.72
532,502.93
533,485.78
534,651.68
535,821.66
536,963.58
537,1068.97
538,1150.63
539,1065.72
540,981.5
541,893.9
542,780.14
543,754.78
544,690.75
545,631.57
546,595.99
547,702.91
548,798.3
549,745.67
550,693.17
551,646.51
552,610.06
553,577.51
554,549.38
555,524.73
556,502.95
557,486.26
558,665.87
559,820.77
560,961.58
561,1071.05
562,1161.02
563,1067.67
564,984.96
565,903.4
566,834.67
567,765.61
568,694.86
569,631.69
570,596.01
571,703.27
572,799.51
573,745.58
574,693.15
575,646.62
576,610.04
577,577.52
578,549.38
579,524.7
580,502.92
581,484.97
582,667.7
583,831.02
584,963.95
585,1069.72
586,1160.65
587,1067.59
588,985.96
589,907.04
590,836.66
591,766.77
592,697.57
593,631.41
594,595.68
595,702.91
596,798.43
597,745.63
598,693.1
599,646.6
600,610.02
601,577.53
602,549.4
603,524.73
604,502.95
605,486.16
606,676.53
607,831.93
608,965.85
609,1073.34
610,1161.96
611,1068.29
612,986.37
613,907.24
614,836.63
