Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,9.653979071885562
8,30.378851835908996
9,130.92563517050837
10,285.13261063029324
11,368.9185567781876
12,402.33038077474066
13,405.01125780882995
14,384.433116123267
15,329.88559862723423
16,238.36094285579378
17,147.80685937679425
18,44.321624586434815
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,14.805376288786258
32,24.361573484695345
33,205.5653407301433
34,308.3157441506127
35,371.5872032509282
36,401.9402887488315
37,401.21401648002575
38,384.46569908873875
39,316.84302678164426
40,212.90115967258197
41,151.0468041504315
42,38.036621396728464
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,14.759517670819767
56,118.40553655918778
57,172.3464450853216
58,314.3558048005793
59,371.59832324100483
60,395.8076203649149
61,406.83541463205347
62,388.1040592884441
63,333.8071086078031
64,245.13534139378032
65,103.42163210019784
66,27.477837980115396
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,14.805376288786258
80,94.15083678537306
81,205.40126282859165
82,305.1933065726872
83,370.34712467198983
84,406.298384210204
85,398.34487316951294
86,282.45483614758524
87,68.79502444124418
88,114.51548010233684
89,101.42745424578803
90,36.93654918144946
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,14.337633381063974
104,117.5330103179547
105,224.14894212154854
106,312.5970423539006
107,376.1172999083608
108,412.1194442626874
109,414.66667032382827
110,387.70057299732036
111,335.53104185384944
112,254.92145294225577
113,154.11404270930691
114,48.05667216203738
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,13.780945863069118
128,114.27128543387651
129,220.0619274117304
130,308.8300134886416
131,373.7824972725699
132,400.26821522663175
133,413.3574480227734
134,388.43857256241466
135,335.92402300318844
136,256.29823888334323
137,155.47207267921857
138,46.50940406145379
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,13.7491721293698
152,112.4430794113881
153,219.2133548241296
154,308.5946389641629
155,375.68690494001396
156,414.3476683268055
157,419.6629650402441
158,392.2507499098873
159,338.9581179510341
160,258.95584066802405
161,157.32260873738778
162,46.28862876434141
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,13.326526151896141
176,108.3914075882726
177,200.6418171187504
178,300.3013186148252
179,364.6607745290861
180,408.6720698749265
181,417.5578413584503
182,389.6375860342855
183,331.2615880473517
184,257.6798770932666
