Periods,2025
1,279.82
2,273.17
3,267.69
4,261.22
5,267.86
6,292.88
7,476.7
8,615.61
9,705.82
10,832.42
11,950.24
12,1026.79
13,1086.68
14,1100.95
15,1123.67
16,1115.9
17,960.45
18,820.73
19,705.93
20,629.16
21,541.52
22,481.24
23,426.4
24,395.48
25,370.77
26,351.63
27,337.55
28,325.2
29,320.48
30,345.12
31,530.7
32,671.72
33,772.28
34,882.52
35,984.9
36,1030.8
37,1097.66
38,1099.59
39,1118.78
40,1127.15
41,962.37
42,835.72
43,734.43
44,643.58
45,557.66
46,491.92
47,432.33
48,398.49
49,369.69
50,347.55
51,329.52
52,312.95
53,293.56
54,303.11
55,461.88
56,633.75
57,756.76
58,853.6
59,915.77
60,1003.99
61,1070.24
62,1106.72
63,1136.47
64,1146.79
65,964.87
66,846.43
67,734.45
68,644.23
69,557.49
70,468.65
71,430.98
72,375.22
73,363.64
74,358.92
75,333.51
76,308.79
77,293.8
78,307.88
79,482.63
80,616.66
81,729.18
82,819.03
83,917.11
84,1025.91
85,1028.96
86,1071.85
87,1114.34
88,1129.2
89,975.9
90,861.94
91,748.16
92,643.58
93,557.45
94,468.43
95,417.31
96,387.47
97,350.52
98,320.25
99,292.23
100,265.32
101,265.06
102,286.61
103,290.87
104,466.02
105,610.13
106,769.15
107,899.87
108,983.6
109,1053.1
110,1114.03
111,1111.73
112,1139.08
113,1135.93
114,975.23
115,832.7
116,720.85
117,602.92
118,543.6
119,481.77
120,431.29
121,395.48
122,365.56
123,399.76
124,340.52
125,291.99
126,272.62
127,343.83
128,537.79
129,666.37
130,773.52
131,907.2
132,996.05
133,1051.42
134,1103.63
135,1114.91
136,1127.29
137,1136.38
138,989.32
139,832.91
140,721.02
141,631.25
142,543.79
143,481.97
144,430.66
145,388.53
146,351.97
147,327.1
148,306.22
149,292.0
150,311.88
151,319.37
152,496.48
153,626.25
154,759.7
155,906.92
156,995.59
157,1065.12
158,1088.81
159,1092.29
160,1128.11
161,1150.33
162,1031.0
163,888.43
164,789.99
165,657.65
166,543.76
167,481.99
168,434.64
169,396.79
170,364.19
171,337.01
172,315.7
173,302.48
174,315.42
